block,treat,plant,dist,up_down,slope,d15,precN,precC,C/N
1,B,Lichen,5,0,0,94.45,0.379,44.4809,117.3571
2,B,Lichen,5,0,0,24.71,0.3234,43.6328,134.9216
3,B,Lichen,5,0,0,54.55,0.264,44.8364,169.8654
4,B,Lichen,5,0,0,15.47,0.2978,44.166,148.2905
5,B,Lichen,5,0,0,57.6,0.2589,43.7877,169.1192
6,B,Lichen,5,0,0,11.31,0.2749,44.332,161.2564
7,B,Lichen,5,0,0,13.86,0.2677,40.3231,150.6344
8,B,Lichen,5,0,0,30.77,0.2662,44.3081,166.4355
9,B,Lichen,5,0,0,71.47,0.2802,44.0255,157.1375
10,B,Lichen,5,0,0,31.84,0.2795,43.7908,156.6906
11,B,Lichen,5,0,0,36.98,0.3153,43.8455,139.0497
12,B,Lichen,5,0,0,16.24,0.3377,44.3712,131.3908
13,B,Lichen,5,0,0,24.43,0.328,44.2593,134.9402
14,B,Lichen,5,0,0,10.7,0.3038,44.5919,146.7678
15,B,Lichen,5,0,0,14.43,0.373,44.3007,118.7606
16,B,Lichen,5,0,0,91.81,0.2925,44.4089,151.8258
17,B,Lichen,5,0,0,34.71,0.2631,44.5961,169.5005
18,B,Lichen,5,0,0,32.91,0.3178,44.4848,139.9652
19,B,Lichen,5,0,0,32.39,0.28,44.3914,158.5224
20,B,Lichen,5,0,0,56.2,0.1938,44.5618,229.9809
1,B,Kalmia,5,0,0,-7.37,1.3164,54.3705,41.3029
2,B,Kalmia,5,0,0,-8.38,1.0898,51.9664,47.685
3,B,Kalmia,5,0,0,-7.95,1.1592,52.9184,45.6494
4,B,Kalmia,5,0,0,-10.29,0.993,57.166,57.5678
5,B,Kalmia,5,0,0,-8.53,1.2466,54.431,43.6653
6,B,Kalmia,5,0,0,-5.85,0.9802,55.8831,57.0141
7,B,Kalmia,5,0,0,-7.17,1.0904,54.4134,49.9019
8,B,Kalmia,5,0,0,-4.45,1.1374,56.8835,50.0127
9,B,Kalmia,5,0,0,-6.48,1.3273,56.0617,42.2372
10,B,Kalmia,5,0,0,-7.8,1.0287,54.4781,52.9579
11,B,Kalmia,5,0,0,-3.46,1.0738,55.3522,51.549
12,B,Kalmia,5,0,0,-9.34,1.2467,54.5164,43.7296
13,B,Kalmia,5,0,0,-9.02,1.3538,54.9936,40.6213
14,B,Kalmia,5,0,0,-6.88,1.1819,55.5109,46.9674
15,B,Kalmia,5,0,0,-6.32,1.1964,54.4885,45.545
16,B,Kalmia,5,0,0,-7.6,0.9548,54.3529,56.9238
17,B,Kalmia,5,0,0,-10.95,1.3843,55.5893,40.1582
18,B,Kalmia,5,0,0,-8.33,1.1888,54.1956,45.5902
19,B,Kalmia,5,0,0,-10.93,1.2125,53.3584,44.0076
20,B,Kalmia,5,0,0,-6.65,1.1739,55.2977,47.1068
1,T,Lichen,0,0,0,4877,0.3489,41.262,118.2627
2,T,Lichen,0,0,0,4002,0.4056,42.2918,104.2773
3,T,Lichen,0,0,0,5458,0.3551,40.9309,115.2663
4,T,Lichen,0,0,0,4006,0.3903,41.1352,105.3851
5,T,Lichen,0,0,0,5608,0.4245,40.8923,96.3357
6,T,Lichen,0,0,0,4353,0.4024,41.8395,103.966
7,T,Lichen,0,0,0,4535,0.2761,40.6722,147.2968
8,T,Lichen,0,0,0,5263,0.4678,41.3541,88.4035
9,T,Lichen,0,0,0,3931,0.3238,40.8322,126.0919
10,T,Lichen,0,0,0,3852,0.3298,41.1797,124.8695
11,T,Lichen,0,0,0,5579,0.4992,41.7851,83.7073
12,T,Lichen,0,0,0,4935,0.4392,42.1174,95.8946
13,T,Lichen,0,0,0,5159,0.4773,42.6067,89.2665
14,T,Lichen,0,0,0,5634,0.5041,42.3117,83.9385
15,T,Lichen,0,0,0,3433,0.4635,41.6173,89.7828
16,T,Lichen,0,0,0,5263,0.3897,41.2572,105.8772
17,T,Lichen,0,0,0,2645,0.3584,42.2235,117.8123
18,T,Lichen,0,0,0,4420,0.6465,42.4322,65.6347
19,T,Lichen,0,0,0,5214,0.5522,43.0753,78.005
20,T,Lichen,0,0,0,5748,0.4747,42.8411,90.2396
1,T,Kalmia,0,0,0,3967,1.5755,52.6106,33.3926
2,T,Kalmia,0,0,0,4841,1.3548,50.503,37.2763
3,T,Kalmia,0,0,0,4652,1.301,51.957,39.9374
4,T,Kalmia,0,0,0,4198,1.173,45.8055,39.0489
5,T,Kalmia,0,0,0,2346,0.996,47.3174,47.5093
6,T,Kalmia,0,0,0,3040,1.1054,55.5174,50.2225
7,T,Kalmia,0,0,0,5261,1.3516,51.5132,38.1126
8,T,Kalmia,0,0,0,3380,1.06,50.9853,48.0992
9,T,Kalmia,0,0,0,2412,1.6036,51.4154,32.063
10,T,Kalmia,0,0,0,5210,1.3445,48.9643,36.4188
11,T,Kalmia,0,0,0,1639,0.9362,51.5046,55.0152
12,T,Kalmia,0,0,0,3631,1.3243,47.4155,35.8029
13,T,Kalmia,0,0,0,3460,1.4763,53.1576,36.0072
14,T,Kalmia,0,0,0,2312,1.2247,52.7646,43.0834
15,T,Kalmia,0,0,0,847,1.304,52.5303,40.2839
16,T,Kalmia,0,0,0,4007,1.1057,43.919,39.7223
17,T,Kalmia,0,0,0,5654,1.6507,54.2534,32.8661
18,T,Kalmia,0,0,0,2533,1.0972,49.3798,45.0059
19,T,Kalmia,0,0,0,2581,1.249,52.7997,42.2732
20,T,Kalmia,0,0,0,2333,0.9567,50.7605,53.0596
